2022-04-25 13:24:51.862 +02:00 [INF] Worker secrets RabbitUser: guest
2022-04-25 13:24:51.924 +02:00 [INF] Worker running at: "2022-04-25T13:24:51.9081721+02:00"
2022-04-25 13:24:51.931 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2022-04-25 13:24:51.931 +02:00 [INF] Hosting environment: Development
2022-04-25 13:24:51.931 +02:00 [INF] Content root path: C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring
2022-04-25 13:24:52.942 +02:00 [INF] Worker running at: "2022-04-25T13:24:52.9397858+02:00"
2022-04-25 13:24:53.960 +02:00 [INF] Worker running at: "2022-04-25T13:24:53.9532695+02:00"
2022-04-25 13:24:54.970 +02:00 [INF] Worker running at: "2022-04-25T13:24:54.9655004+02:00"
2022-04-25 13:24:55.980 +02:00 [INF] Worker running at: "2022-04-25T13:24:55.9761833+02:00"
2022-04-25 13:24:56.994 +02:00 [INF] Worker running at: "2022-04-25T13:24:56.9906231+02:00"
2022-04-25 13:24:58.005 +02:00 [INF] Worker running at: "2022-04-25T13:24:57.9999711+02:00"
2022-04-25 13:24:59.017 +02:00 [INF] Worker running at: "2022-04-25T13:24:59.0108146+02:00"
2022-04-25 13:25:00.035 +02:00 [INF] Worker running at: "2022-04-25T13:25:00.0304402+02:00"
2022-04-25 13:25:01.072 +02:00 [INF] Worker running at: "2022-04-25T13:25:01.0409569+02:00"
2022-04-25 13:25:02.085 +02:00 [INF] Worker running at: "2022-04-25T13:25:02.0811189+02:00"
2022-04-25 13:25:03.106 +02:00 [INF] Worker running at: "2022-04-25T13:25:03.1006743+02:00"
2022-04-25 13:25:04.113 +02:00 [INF] Worker running at: "2022-04-25T13:25:04.1091842+02:00"
2022-04-25 13:25:05.123 +02:00 [INF] Worker running at: "2022-04-25T13:25:05.1159883+02:00"
2022-04-25 13:28:39.233 +02:00 [INF] Worker running at: "2022-04-25T13:28:39.2055405+02:00"
2022-04-25 13:28:39.286 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2022-04-25 13:28:39.286 +02:00 [INF] Hosting environment: Development
2022-04-25 13:28:39.286 +02:00 [INF] Content root path: C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring
2022-04-25 13:28:40.298 +02:00 [INF] Worker running at: "2022-04-25T13:28:40.2944669+02:00"
2022-04-25 13:28:41.318 +02:00 [INF] Worker running at: "2022-04-25T13:28:41.3141231+02:00"
2022-04-25 13:28:42.331 +02:00 [INF] Worker running at: "2022-04-25T13:28:42.3253688+02:00"
2022-04-25 13:28:43.341 +02:00 [INF] Worker running at: "2022-04-25T13:28:43.3375857+02:00"
2022-04-25 13:28:44.372 +02:00 [INF] Worker running at: "2022-04-25T13:28:44.3675248+02:00"
2022-04-25 13:28:45.394 +02:00 [INF] Worker running at: "2022-04-25T13:28:45.3895467+02:00"
2022-04-25 13:28:46.404 +02:00 [INF] Worker running at: "2022-04-25T13:28:46.3964029+02:00"
2022-04-25 13:28:47.419 +02:00 [INF] Worker running at: "2022-04-25T13:28:47.4144099+02:00"
2022-04-25 13:28:48.436 +02:00 [INF] Worker running at: "2022-04-25T13:28:48.4339404+02:00"
2022-04-25 13:28:49.440 +02:00 [INF] Worker running at: "2022-04-25T13:28:49.4376343+02:00"
2022-04-25 13:28:50.453 +02:00 [INF] Worker running at: "2022-04-25T13:28:50.4468809+02:00"
2022-04-25 13:28:51.463 +02:00 [INF] Worker running at: "2022-04-25T13:28:51.4595433+02:00"
2022-04-25 13:28:52.477 +02:00 [INF] Worker running at: "2022-04-25T13:28:52.4716132+02:00"
2022-04-25 13:28:53.497 +02:00 [INF] Worker running at: "2022-04-25T13:28:53.4904218+02:00"
2022-04-25 13:28:54.516 +02:00 [INF] Worker running at: "2022-04-25T13:28:54.5126324+02:00"
2022-04-25 13:28:55.526 +02:00 [INF] Worker running at: "2022-04-25T13:28:55.5196395+02:00"
